Obj1,Obj2,Figure1,Figure2,Acc,Acc_exp_transform,RT,Skel,Skel_log_transformed,GBJ,GIST,HMAX,conv1,conv2,conv3,conv4,conv5,fc6,fc7,fc8
107,76,Figure_107,Figure_76,0.857142857,2.356418442,1936.6,67.14,4.21,223.75,0.1092,0.53,29362.31,23285.08,13646.28,7025.06,3413.39,527.18,156.68,44.95
107,83,Figure_107,Figure_83,0.771428571,2.162853838,2679.085714,77.47,4.35,190.22,0.0787,0.33,24897.89,19112.81,11772.65,6317.6,3128.99,485.41,164.25,38.9
108,100,Figure_108,Figure_100,0.857142857,2.356418442,2585.428571,69.15,4.24,192.45,0.0919,0.36,26106.66,20088.02,11260.73,5833.55,2804.4,494.35,175.58,44.31
108,103,Figure_108,Figure_103,0.735294118,2.086095461,2959.264706,64.27,4.16,194.72,0.0893,0.25,25770.12,19722.44,11779.07,6147.3,2967.66,427.8,139.25,33.26
108,116,Figure_108,Figure_116,0.6875,1.98873747,3383.5625,59.73,4.09,171.22,0.0558,0.22,24675.05,18838.1,10873.74,5791.09,2925.25,535.87,179.51,47.37
108,39,Figure_108,Figure_39,0.8,2.225540928,2289.742857,84.82,4.44,197.89,0.0888,0.24,25906.65,19921.7,12316.43,6336.06,3181.98,479.49,166.27,39.06
108,43,Figure_108,Figure_43,0.625,1.868245957,2794.03125,101.2,4.62,171.58,0.0495,0.02,25908.97,19537.14,10448.19,5442.64,2614.64,445.79,150.79,44.26
108,44,Figure_108,Figure_44,0.722222222,2.059003694,2640.277778,120.13,4.79,163.91,0.0479,0.04,25314.94,18051.53,9745.29,5061.94,2465.6,414.25,145.3,38.17
108,48,Figure_108,Figure_48,0.6,1.8221188,3115.571429,77.03,4.34,207.33,0.109,0.2,27483.84,21896.27,12968.64,6841.94,3283.98,572.49,198.06,48.34
108,76,Figure_108,Figure_76,0.620689655,1.860210503,2068.62069,90.66,4.51,203.62,0.0901,0.25,29720.23,23816.5,13364.81,6998.04,3415.81,527.42,176.95,49.55
116,103,Figure_116,Figure_103,0.638888889,1.894374849,2914.222222,40.47,3.7,208.03,0.0679,0.56,23814.27,19426.81,12641.71,6639.56,3386.12,541.58,174.73,44.03
117,100,Figure_117,Figure_100,0.833333333,2.30097589,2405.666667,66.09,4.19,186.14,0.0915,0.38,26071.84,20450.66,12231.79,6464.89,3136.83,446.59,156.84,39.9
117,103,Figure_117,Figure_103,0.617647059,1.854559236,2495.5,65.9,4.19,181.11,0.0902,0.3,26229.27,20174.74,11876.29,6154.86,3059.48,480.06,154.47,34.81
117,106,Figure_117,Figure_106,0.914285714,2.494992477,1864.571429,87.49,4.47,173.33,0.0798,0.39,25354.86,18791.56,10917.25,5899.24,2943.27,480.12,164.95,44.13
117,107,Figure_117,Figure_107,0.810810811,2.249731354,2652.918919,74.67,4.31,175.06,0.089,0.47,26125.21,19964.84,11332.51,5949.27,2913.93,447.61,154.24,36.16
117,108,Figure_117,Figure_108,0.741935484,2.099996092,2412.419355,51.41,3.94,220.92,0.1371,0.16,27445.31,22687.65,13719.19,7181.12,3537.61,565.11,183.53,43.75
117,116,Figure_117,Figure_116,0.8125,2.253534787,1690.375,55.99,4.03,175.57,0.0681,0.19,24782.16,19710.07,11564.16,6208.51,3162.13,456,157.93,41.18
117,23,Figure_117,Figure_23,0.71875,2.051866773,2461.0625,128.76,4.86,195.31,0.1035,0.51,30573.55,22568.59,12490.63,6503.78,3183.96,484.83,161.22,42.23
117,266,Figure_117,Figure_266,0.888888889,2.432425455,2611.472222,83.22,4.42,210.25,0.1264,0.21,28692.03,23782.11,14153.36,7310.33,3629.37,504.6,154.25,35.63
117,31,Figure_117,Figure_31,0.5,1.648721271,2492.176471,69.17,4.24,171.72,0.0785,0.05,26184.43,20241.12,11624.91,6168.87,3052.98,364.98,119.16,30.07
117,32,Figure_117,Figure_32,0.735294118,2.086095461,2069.764706,84.22,4.43,185.08,0.0699,0.16,27264.5,20812.74,12442.21,6604.7,3339.44,483.24,170.9,33.57
117,39,Figure_117,Figure_39,0.8,2.225540928,3004.1,95.6,4.56,178.4,0.0796,0.29,26908.12,20679,11938.22,6190.5,3074.24,467.31,157.68,35.51
117,43,Figure_117,Figure_43,0.666666667,1.947734042,2737.939394,82.94,4.42,194.48,0.1052,0.12,27448.9,22413.32,13075.44,6858.58,3448.65,476.81,154.21,37.31
117,44,Figure_117,Figure_44,0.575757576,1.778477348,2530.121212,85.63,4.45,209.58,0.133,0.17,26187.61,21862.1,13347.16,7024.85,3515.57,520.87,178.45,44.05
117,48,Figure_117,Figure_48,0.606060606,1.833195476,2357.363636,56.63,4.04,180.04,0.089,0.18,25972.67,20559.93,12375,6504.85,3166.76,445.52,157.57,32.76
117,56,Figure_117,Figure_56,0.828571429,2.290044911,2572.685714,85.66,4.45,193.26,0.0956,0.26,25979.22,21272.14,12618.36,6647.43,3360.21,507.39,175.99,46.21
117,61,Figure_117,Figure_61,0.657142857,1.929272246,2431.657143,76.26,4.33,226.06,0.1287,0.15,29944.94,25132.63,15081.89,7648.83,3699.55,528.08,165.89,35.49
117,76,Figure_117,Figure_76,0.823529412,2.278527525,2181.294118,69,4.23,208.93,0.1217,0.23,28481.21,22705.76,13502.23,6982.91,3399.28,541.39,183.91,49.03
117,83,Figure_117,Figure_83,0.742857143,2.101932465,2436.657143,45.5,3.82,197.67,0.1152,0.18,25804.33,21746.47,13118.09,6917.56,3391.78,528.22,177.11,42.08
117,90,Figure_117,Figure_90,0.71875,2.051866773,2072.875,60.17,4.1,191.16,0.0828,0.24,26494.18,21048.2,12673.97,6669.43,3263.06,438.63,142.89,37.24
118,100,Figure_118,Figure_100,0.8125,2.253534787,1673.53125,64.07,4.16,193.17,0.0903,0.47,27118.72,21636.04,12467.82,6342.43,3076.72,510.42,196.38,48.18
118,101,Figure_118,Figure_101,0.882352941,2.41657909,2690.470588,69.71,4.24,221.11,0.1496,0.38,27643.32,22981.07,13452.69,6930.54,3401.64,571.48,192.4,48.18
118,103,Figure_118,Figure_103,0.636363636,1.889597108,2323.909091,76.89,4.34,210.68,0.1045,0.31,27407.49,22237.26,13234.84,6753.65,3316.28,461.89,158.11,35.83
